sku,manufacturer,model,name,_yoast_wpseo_title,meta_keyword,parent mpn,parent sku,mpn,upc,stock_number_rsr,stock_number_lipseys,_regular_price,_msrp,images,additional_images,product_type,attribute_set_code,magento_categories,categories,product_online,weight,tax_class_name,visibility,display_product_options_in,product_websites,gender,type,headwear_type,gender,fastener,parent_color,color_h,type,material,details
120279,Oakley Standard Issue,,Oakley Hat Hook and Loop Patch Embroidery Logo L XL,,,911444A,OAK-911444A,911444A-01K-L-XL,190645038077,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120280,Oakley Standard Issue,,Oakley Hat Hook and Loop Patch Embroidery Logo S M,,,911444A,OAK-911444A,911444A-01K-S-M,190645038060,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120281,Oakley Standard Issue,,Oakley Shadow Hat Hook and Loop Patch Embroidery Logo L XL,,,911444A,OAK-911444A,911444A-20G-L-XL,888896458439,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Gray,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120282,Oakley Standard Issue,,Oakley Shadow Hat Hook and Loop Patch Embroidery Logo S M,,,911444A,OAK-911444A,911444A-20G-S-M,888896458422,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Gray,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120283,Oakley Standard Issue,,Oakley Worn Olive Hat Hook and Loop Patch Embroidery Logo L XL,,,911444A,OAK-911444A,911444A-79B-L-XL,888896325267,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Green,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120284,Oakley Standard Issue,,Oakley Worn Olive Hat Hook and Loop Patch Embroidery Logo S M,,,911444A,OAK-911444A,911444A-79B-S-M,888896325250,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Green,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120285,Oakley Standard Issue,,Oakley Coyote Hat Hook and Loop Patch Embroidery Logo L XL,,,911444A,OAK-911444A,911444A-86W-L-XL,888896325281,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/FDE / Tan,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120286,Oakley Standard Issue,,Oakley Coyote Hat Hook and Loop Patch Embroidery Logo S M,,,911444A,OAK-911444A,911444A-86W-S-M,888896325274,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/FDE / Tan,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120287,Oakley Standard Issue,,Oakley Jet Black Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-01K-L-XL,888896411922,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120288,Oakley Standard Issue,,Oakley Jet Black Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-01K-S-M,888896411939,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120289,Oakley Standard Issue,,Oakley Black/American Flag Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-01V-L-XL,888896411984,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120290,Oakley Standard Issue,,Oakley Black/American Flag Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-01V-S-M,888896411991,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120291,Oakley Standard Issue,,Oakley Black/Carbon Fiber Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-01W-L-XL,888896412042,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120292,Oakley Standard Issue,,Oakley Black/Carbon Fiber Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-01W-S-M,888896412059,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120293,Oakley Standard Issue,,Oakley Black/Graphic Camo Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-01Y-L-XL,888896412066,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120294,Oakley Standard Issue,,Oakley Black/Graphic Camo Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-01Y-S-M,888896412073,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120295,Oakley Standard Issue,,Oakley White/Red Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-106-L-XL,888896791512,,,28,28,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/White,Default Category/Oakley SI/Colors/Red,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120296,Oakley Standard Issue,,Oakley White/Red Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-106-S-M,888896791529,,,28,28,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/White,Default Category/Oakley SI/Colors/Red,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120297,Oakley Standard Issue,,Oakley Grigio Scuro Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-23Q-L-XL,888896411885,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Gray,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120298,Oakley Standard Issue,,Oakley Grigio Scuro Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-23Q-S-M,888896411892,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Gray,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120299,Oakley Standard Issue,,Oakley Navy/White Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-612-L-XL,888896791567,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Navy,Default Category/Oakley SI/Colors/White,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120300,Oakley Standard Issue,,Oakley Navy/White Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-612-S-M,888896791543,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Navy,Default Category/Oakley SI/Colors/White,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120301,Oakley Standard Issue,,Oakley Worn Olive Tincan Hat Solid Metal Ellipse Logo L XL,,,911545,OAK-911545,911545-70L-L-XL,888896412004,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Green,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120302,Oakley Standard Issue,,Oakley Worn Olive Tincan Hat Solid Metal Ellipse Logo S M,,,911545,OAK-911545,911545-70L-S-M,888896412011,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Green,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120303,Oakley Standard Issue,,Oakley Cotton Cap Hook and Loop Patch Embroidery Logo L XL,,,911630,OAK-911630,911630-001-L-XL,888896348488,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120304,Oakley Standard Issue,,Oakley Cotton Cap Hook and Loop Patch Embroidery Logo S M,,,911630,OAK-911630,911630-001-S-M,888896348471,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120305,Oakley Standard Issue,,Oakley Shadow Cotton Cap Hook and Loop Patch Embroidery Logo L XL,,,911630,OAK-911630,911630-20G-L-XL,888896348525,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Gray,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120306,Oakley Standard Issue,,Oakley Shadow Cotton Cap Hook and Loop Patch Embroidery Logo S M,,,911630,OAK-911630,911630-20G-S-M,888896348518,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Gray,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120307,Oakley Standard Issue,,Oakley Worn Olive Cotton Cap Hook and Loop Patch Embroidery Logo L XL,,,911630,OAK-911630,911630-79B-L-XL,888896348501,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Green,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120308,Oakley Standard Issue,,Oakley Worn Olive Cotton Cap Hook and Loop Patch Embroidery Logo S M,,,911630,OAK-911630,911630-79B-S-M,888896348495,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Green,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120309,Oakley Standard Issue,,Oakley Coyote Cotton Cap Hook and Loop Patch Embroidery Logo L XL,,,911630,OAK-911630,911630-86W-L-XL,888896348464,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/FDE / Tan,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120310,Oakley Standard Issue,,Oakley Coyote Cotton Cap Hook and Loop Patch Embroidery Logo S M,,,911630,OAK-911630,911630-86W-S-M,888896348457,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/FDE / Tan,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
120311,Oakley Standard Issue,,Oakley MultiCam Cotton Cap Hook and Loop Patch Embroidery Logo L XL,,,911630A,OAK-911630A,911630A-02L-L-XL,190645256747,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Camo,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Male,,,,Tincan,,
120312,Oakley Standard Issue,,Oakley MultiCam Cotton Cap Hook and Loop Patch Embroidery Logo S M,,,911630A,OAK-911630A,911630A-02L-S-M,190645256730,,,30,30,,,variable,Headwear,"Default Category/Clothing/Hats,Default Category/Oakley SI/Colors/Camo,Default Category/Oakley SI/Clothing/Hats",Default Category|Clothing/Hats,1,1,Taxable Goods,Catalog|Search,Block after Info Column,base,,,,Female,,,,Hat,,
